timestamp,current_A,voltage_V,power_W,energy_J
4,-7.45551660656929e-09,1.504014299180871,-1.4935433864593505e-08,-1.4935433864593507e-10
14,8.157081902027131e-09,1.503912269932311,8.551031351089479e-09,8.551031351089478e-11
23,-7.541989907622338e-09,1.503943098556623,-1.5070289373397827e-08,-1.5070289373397826e-10
36,8.013658225536346e-09,1.5039068222081289,8.315593004226685e-09,8.315593004226685e-11
43,-7.658591493964195e-09,1.503807148140762,-1.525506377220154e-08,-1.525506377220154e-10
54,8.152332156896592e-09,1.5040131666258443,8.513033390045166e-09,8.513033390045166e-11
64,-7.789209485054016e-09,1.503795767032262,-1.5413761138916015e-08,-1.5413761138916017e-10
74,7.98804685473442e-09,1.5039320320494007,8.296966552734376e-09,8.296966552734376e-11
107,-7.592095062136651e-09,1.5039474194043316,-1.511499285697937e-08,-1.5114992856979372e-10
128,7.844297215342522e-09,1.5038142253748141,8.087605237960816e-09,8.087605237960817e-11
132,-7.810816168785096e-09,1.5040008502683138,-1.545846462249756e-08,-1.545846462249756e-10
132,7.9223420470953e-09,1.503814758314332,8.197128772735596e-09,8.197128772735597e-11
132,-7.737241685390473e-09,1.5039831799307373,-1.5389174222946168e-08,-1.538917422294617e-10
135,8.099758997559548e-09,1.5039352250202094,8.446723222732545e-09,8.446723222732545e-11
145,-7.809186354279518e-09,1.5038427089936102,-1.5448033809661865e-08,-1.5448033809661864e-10
156,8.00536945462227e-09,1.5040596164827702,8.363276720046997e-09,8.363276720046998e-11
165,-7.740920409560204e-09,1.5038709457011894,-1.5331059694290162e-08,-1.5331059694290162e-10
175,8.021993562579155e-09,1.5039781150467229,8.349865674972534e-09,8.349865674972534e-11
186,-7.63894058763981e-09,1.5040033159576358,-1.5199929475784304e-08,-1.5199929475784304e-10
195,8.117919787764549e-09,1.5038498780378606,8.502602577209473e-09,8.502602577209473e-11
206,-7.832515984773636e-09,1.5040659310298508,-1.547783613204956e-08,-1.547783613204956e-10
216,8.142413571476937e-09,1.5038549898036757,8.541345596313477e-09,8.541345596313477e-11
227,-7.720431312918663e-09,1.5040024625869934,-1.5313178300857543e-08,-1.5313178300857543e-10
237,8.162250742316247e-09,1.5039795313650743,8.597970008850099e-09,8.597970008850099e-11
246,-7.764250040054321e-09,1.5038286502304954,-1.5384703874588014e-08,-1.5384703874588013e-10
257,8.232519030570985e-09,1.5040112675077282,8.663535118103028e-09,8.663535118103028e-11
266,-7.851095870137214e-09,1.5038346531637945,-1.550838351249695e-08,-1.5508383512496948e-10
277,8.122017607092858e-09,1.5039342621488963,8.480995893478394e-09,8.480995893478394e-11
287,-7.63116404414177e-09,1.503915465042973,-1.5187263488769533e-08,-1.5187263488769533e-10
295,8.031725883483887e-09,1.5038086293824018,8.344650268554688e-09,8.344650268554689e-11
304,-7.66008161008358e-09,1.504031168679474,-1.5231221914291384e-08,-1.5231221914291384e-10
314,8.34059901535511e-09,1.503812272326462,8.869171142578126e-09,8.869171142578126e-11
324,-7.769605144858361e-09,1.5039281604102348,-1.5372037887573243e-08,-1.5372037887573243e-10
334,8.229399099946022e-09,1.5039119316272438,8.666515350341797e-09,8.666515350341797e-11
344,-7.752887904644013e-09,1.5038238401927986,-1.5372782945632934e-08,-1.5372782945632934e-10
354,8.427444845438003e-09,1.503989134562714,8.969753980636596e-09,8.969753980636596e-11
364,-7.76536762714386e-09,1.503826481516147,-1.5391409397125246e-08,-1.5391409397125246e-10
374,8.24662856757641e-09,1.5039669693679083,8.72015953063965e-09,8.720159530639649e-11
385,-7.82310962677002e-09,1.5040024863027968,-1.547187566757202e-08,-1.547187566757202e-10
395,8.320808410644531e-09,1.5038104686119595,8.783489465713501e-09,8.783489465713502e-11
405,-7.667765021324158e-09,1.5040326968928799,-1.5228986740112305e-08,-1.5228986740112305e-10
416,8.409982547163964e-09,1.5038385325671175,8.933991193771363e-09,8.933991193771364e-11
426,-7.674610242247582e-09,1.5039891345706768,-1.5239417552947997e-08,-1.5239417552947998e-10
436,8.457759395241738e-09,1.503929412554158,9.00477170944214e-09,9.00477170944214e-11
446,-7.879920303821564e-09,1.503839741171943,-1.5548616647720337e-08,-1.5548616647720336e-10
456,8.36341641843319e-09,1.504056189903198,8.893013000488281e-09,8.893013000488282e-11
466,-8.033588528633119e-09,1.503845574943442,-1.577064394950867e-08,-1.5770643949508668e-10
476,8.341902866959572e-09,1.5039399851672353,8.841603994369507e-09,8.841603994369507e-11
486,-7.729697972536087e-09,1.503982172675617,-1.5328079462051393e-08,-1.5328079462051392e-10
496,8.418923243880272e-09,1.503851148567535,8.976459503173829e-09,8.976459503173829e-11
506,-7.853936403989791e-09,1.5040234460037667,-1.5501677989959717e-08,-1.5501677989959718e-10
517,8.510379120707512e-09,1.5038022684954107,9.079277515411378e-09,9.079277515411379e-11
526,-7.833493873476983e-09,1.503944719299907,-1.5501677989959717e-08,-1.5501677989959718e-10
536,8.38334672152996e-09,1.503897194174258,8.90195369720459e-09,8.90195369720459e-11
547,-7.774308323860168e-09,1.5037950583726167,-1.5369802713394165e-08,-1.5369802713394166e-10
554,8.381204679608345e-09,1.504019178363681,8.907169103622437e-09,8.907169103622437e-11
563,-8.077267557382584e-09,1.503842207942717,-1.5856325626373292e-08,-1.5856325626373293e-10
574,8.455198258161544e-09,1.5039265497735237,8.994340896606446e-09,8.994340896606446e-11
584,-7.835216820240021e-09,1.5039101250594948,-1.5500187873840332e-08,-1.5500187873840332e-10
596,8.346047252416612e-09,1.5038031287016347,8.822977542877198e-09,8.822977542877199e-11
604,-7.900455966591835e-09,1.5040479862312788,-1.5591830015182497e-08,-1.5591830015182496e-10
615,8.413568139076234e-09,1.5038311425386928,8.936971426010132e-09,8.936971426010132e-11
625,-8.059665560722351e-09,1.503948057711078,-1.5828758478164675e-08,-1.5828758478164675e-10
635,8.461298421025276e-09,1.503927937938599,8.999556303024292e-09,8.999556303024292e-11
645,-7.982319220900535e-09,1.5037737592274323,-1.575276255607605e-08,-1.5752762556076051e-10
655,8.552195504307747e-09,1.503972001710767,9.137392044067384e-09,9.137392044067385e-11
665,-8.10101628303528e-09,1.5038244608533569,-1.5882402658462524e-08,-1.5882402658462524e-10
675,8.48984345793724e-09,1.5039689343074802,9.049475193023683e-09,9.049475193023683e-11
685,-8.089328184723854e-09,1.5038629960559309,-1.5836209058761598e-08,-1.58362090587616e-10
696,8.551776409149171e-09,1.5037960866422393,9.15154814720154e-09,9.15154814720154e-11
706,-7.953168824315071e-09,1.504014714347478,-1.566186547279358e-08,-1.566186547279358e-10
715,8.722953498363496e-09,1.5038277674044482,9.391456842422485e-09,9.391456842422485e-11
726,-8.117407560348512e-09,1.5039397131866776,-1.5910714864730835e-08,-1.5910714864730834e-10
736,8.622230961918832e-09,1.5038714953527788,9.214878082275392e-09,9.214878082275392e-11
747,-8.156709372997284e-09,1.503749801421445,-1.5961378812789918e-08,-1.5961378812789918e-10
756,8.599506691098214e-09,1.503915292392485,9.258836507797242e-09,9.258836507797243e-11
767,-8.139899000525474e-09,1.5037609335324729,-1.5992671251296998e-08,-1.5992671251296998e-10
776,8.657481521368026e-09,1.5039051886305215,9.321421384811402e-09,9.321421384811402e-11
787,-8.264556527137757e-09,1.5039125221236609,-1.6163289546966553e-08,-1.6163289546966554e-10
797,8.465396240353585e-09,1.5038319022519515,9.038299322128296e-09,9.038299322128297e-11
804,-8.049514144659043e-09,1.5040234192822128,-1.57967209815979e-08,-1.5796720981597902e-10
813,8.548330515623094e-09,1.5038256262960845,9.145587682724e-09,9.145587682724e-11
824,-8.26418399810791e-09,1.503966576794442,-1.6162544488906862e-08,-1.6162544488906863e-10
834,8.354755118489266e-09,1.5039208213320934,8.810311555862428e-09,8.810311555862428e-11
844,-2.435920760035515e-09,1.5038088585815392,-7.3947012424469e-09,-7.3947012424469e-11
856,0.00031852670814841986,1.5039702177384404,0.0004784920796751976,4.7849207967519766e-06
864,0.05660416537434794,1.5006811597552616,0.08456081936210394,0.0008456081936210394
874,0.03352493142518215,1.5020676124056336,0.05024984612390399,0.0005024984612390399
884,0.02475615858915262,1.5026143520860933,0.03714346345514059,0.00037143463455140596
895,0.006030221150070429,1.5034668709264138,0.009065367151796818,9.065367151796817e-05
906,0.006290982573432848,1.503647987991292,0.009458591976761818,9.458591976761818e-05
915,0.006227815792849287,1.5034080364915543,0.009362044263631106,9.362044263631107e-05
925,0.006928571874182671,1.5035051842630376,0.010415843767672777,0.00010415843767672777
935,0.005964556797221303,1.5035159761716612,0.00896698906943202,8.96698906943202e-05
945,0.005845353147992865,1.5034119940629695,0.008787154711782933,8.787154711782933e-05
957,0.005713142633344978,1.5036333144803067,0.008589678929001093,8.589678929001093e-05
965,0.005597259867470712,1.5034543351785745,0.008414392186701298,8.414392186701298e-05
975,0.005491645331401378,1.50361189329871,0.008256506855040788,8.256506855040788e-05
987,0.003430354464519769,1.5036639760216233,0.0051564926601946354,5.156492660194636e-05
996,0.0033742852597963067,1.503579089154862,0.005072820855677128,5.072820855677128e-05
1006,0.003990814319811762,1.5037553879511543,0.0060005585566163065,6.000558556616307e-05
1017,0.004279212905652821,1.5035086719633082,0.006433135502040386,6.433135502040387e-05
1026,0.004402496306365356,1.5036983470824548,0.006619300909340382,6.619300909340383e-05
1037,0.004467430587299168,1.5036987914273516,0.0067169432274997234,6.716943227499723e-05
1047,0.004488576305517927,1.503532288582623,0.006747931224107742,6.747931224107743e-05
1057,0.004471113315690309,1.5037163609896786,0.006722515318542719,6.722515318542719e-05
1063,0.004379582067439333,1.5035437431127765,0.006584156671911479,6.584156671911479e-05
1074,0.004297573424689472,1.5037142319535837,0.006461593183130026,6.461593183130026e-05
1084,0.0042172543464694175,1.503635886849789,0.006340504056960345,6.340504056960344e-05
1094,0.004139121653977782,1.5035637077619788,0.006222691506892443,6.222691506892443e-05
1105,0.005978512230468914,1.5037043662292884,0.008989035395532847,8.989035395532848e-05
1115,0.007098727029887959,1.5033843036943582,0.010671214266121387,0.00010671214266121387
1124,0.00703238887633197,1.5034783692471219,0.010572215794026852,0.00010572215794026853
1135,0.006990786743164063,1.503454808415519,0.010509427235275507,0.00010509427235275507
1145,0.006947646761499345,1.5034446388018319,0.010444546557962895,0.00010444546557962896
1155,0.006915942619508133,1.5036383520499803,0.01039821599945426,0.00010398215999454259
1165,0.006853947811992839,1.5034291347093416,0.0103035739608109,0.000103035739608109
1175,0.006818325913045556,1.5035221495959443,0.010250627379119397,0.00010250627379119398
1186,0.006774229014199227,1.5035155907713342,0.010184330637007952,0.00010184330637007951
1196,0.00673488520057872,1.503453139504604,0.010124709935486318,0.00010124709935486318
