"Timestamp","Value"
0.000000,-1.8899999076893437e-7
0.000250,-1.6099998845220398e-7
0.000500,-3.029999788850546e-7
0.000750,1.1299999869152089e-7
0.001000,-3.39999985499162e-7
0.001250,-4.159999775765755e-7
0.001500,-2.1299999275470327e-7
0.001750,-1.5199999836568168e-7
0.002000,1.3999999382008355e-8
0.002250,-8.49999963747905e-8
0.002500,-1.7499999671599653e-7
0.002750,0
0.003000,-7.599999918284084e-8
0.003250,-1.9899999870176543e-7
0.003500,2.639999934217485e-7
0.003750,-3.029999788850546e-7
0.004000,-3.2599999144622416e-7
0.004250,-2.3599999110501813e-7
0.004500,-1.9899999870176543e-7
0.004750,-1.370000006772898e-7
0.005000,-3.639999874849309e-7
0.005250,-3.029999788850546e-7
0.005500,-3.799999959142042e-8
0.005750,-2.879999954075174e-7
0.006000,-7.599999918284084e-8
0.006250,6.599999835543713e-8
0.006500,-3.4999999343199306e-7
0.006750,-9.99999993922529e-9
0.007000,-4.799999686611045e-8
0.007250,-1.1399999522154758e-7
0.007500,-1.2299999241349724e-7
0.007750,-2.879999954075174e-7
0.008000,-3.2599999144622416e-7
0.008250,-1.6099998845220398e-7
0.008500,3.769999921132694e-7
0.008750,-6.199999802447564e-8
0.009000,1.1299999869152089e-7
0.009250,-3.029999788850546e-7
0.009500,-1.370000006772898e-7
0.009750,-3.8700000004610047e-7
0.010000,-3.799999959142042e-8
0.010250,-1.370000006772898e-7
0.010500,-8.49999963747905e-8
0.010750,-2.3599999110501813e-7
0.011000,-4.799999686611045e-8
0.011250,-1.9899999870176543e-7
0.011500,-2.269999868076411e-7
0.011750,-9.999999406318238e-8
0.012000,5.0999997114331563e-8
0.012250,-2.6499998284634785e-7
0.012500,-7.599999918284084e-8
0.012750,7.499999554738679e-8
0.013000,-1.9899999870176543e-7
0.013250,-1.5199999836568168e-7
0.013500,-1.9899999870176543e-7
0.013750,-4.799999686611045e-8
0.014000,-1.370000006772898e-7
0.014250,-4.0199998352363764e-7
0.014500,-2.5099998879341e-7
0.014750,-2.1299999275470327e-7
0.015000,-2.5099998879341e-7
0.015250,-2.5099998879341e-7
0.015500,7.499999554738679e-8
0.015750,7.499999554738679e-8
0.016000,7.499999554738679e-8
0.016250,-3.799999959142042e-8
0.016500,-2.6499998284634785e-7
0.016750,-3.2599999144622416e-7
0.017000,-1.9899999870176543e-7
0.017250,-2.3599999110501813e-7
0.017500,-1.2299999241349724e-7
0.017750,-1.6099998845220398e-7
0.018000,2.799999876401671e-8
0.018250,-3.639999874849309e-7
0.018500,-4.3899999013774504e-7
0.018750,-2.1299999275470327e-7
0.019000,-1.8899999076893437e-7
0.019250,-9.999999406318238e-8
0.019500,-1.2299999241349724e-7
0.019750,1.3999999382008355e-8
0.020000,-4.249999960848072e-7
0.020250,-2.269999868076411e-7
0.020500,-5.15000010636868e-7
0.020750,-1.2299999241349724e-7
0.021000,-2.740000013545796e-7
0.021250,-8.49999963747905e-8
0.021500,-6.199999802447564e-8
0.021750,1.4100000100825127e-7
0.022000,6.599999835543713e-8
0.022250,-3.39999985499162e-7
0.022500,-3.8700000004610047e-7
0.022750,-1.2299999241349724e-7
0.023000,-9.99999993922529e-9
0.023250,1.1299999869152089e-7
0.023500,-7.599999918284084e-8
0.023750,6.599999835543713e-8
0.024000,-1.5199999836568168e-7
0.024250,-1.8899999076893437e-7
0.024500,-9.999999406318238e-8
0.024750,-2.3999998433055225e-8
0.025000,-2.5099998879341e-7
0.025250,-9.99999993922529e-9
0.025500,-3.7799998153786873e-7
0.025750,-2.740000013545796e-7
0.026000,-1.370000006772898e-7
0.026250,6.599999835543713e-8
0.026500,-3.7799998153786873e-7
0.026750,-2.6499998284634785e-7
0.027000,-5.15000010636868e-7
0.027250,-1.7499999671599653e-7
0.027500,-9.999999406318238e-8
0.027750,1.2699999274445872e-7
0.028000,5.0999997114331563e-8
0.028250,-6.199999802447564e-8
0.028500,-4.159999775765755e-7
0.028750,-1.7499999671599653e-7
0.029000,-2.3599999110501813e-7
0.029250,2.799999876401671e-8
0.029500,-1.2299999241349724e-7
0.029750,-4.799999686611045e-8
0.030000,-2.6499998284634785e-7
0.030250,-9.99999993922529e-9
0.030500,-1.2299999241349724e-7
0.030750,8.899999670575198e-8
0.031000,-9.99999993922529e-9
0.031250,-3.639999874849309e-7
0.031500,1.3999999382008355e-8
0.031750,-1.2299999241349724e-7
0.032000,-8.49999963747905e-8
0.032250,-2.3599999110501813e-7
0.032500,-9.999999406318238e-8
0.032750,3.699999950868005e-8
0.033000,-1.7499999671599653e-7
0.033250,-1.6099998845220398e-7
0.033500,-1.370000006772898e-7
0.033750,0
0.034000,-1.7499999671599653e-7
0.034250,1.2699999274445872e-7
0.034500,1.3999999382008355e-8
0.034750,-1.370000006772898e-7
0.035000,-3.4999999343199306e-7
0.035250,8.899999670575198e-8
0.035500,-1.2299999241349724e-7
0.035750,-1.5199999836568168e-7
0.036000,-2.740000013545796e-7
0.036250,-8.49999963747905e-8
0.036500,-7.599999918284084e-8
0.036750,1.3999999382008355e-8
0.037000,-1.370000006772898e-7
0.037250,-2.3599999110501813e-7
0.037500,-4.3899999013774504e-7
0.037750,-4.159999775765755e-7
0.038000,-4.799999686611045e-8
0.038250,2.799999876401671e-8
0.038500,-2.3999998433055225e-8
0.038750,-2.269999868076411e-7
0.039000,-2.740000013545796e-7
0.039250,1.3999999382008355e-8
0.039500,-1.8899999076893437e-7
0.039750,-2.3999998433055225e-8
0.040000,-4.539999736152822e-7
0.040250,1.7899999704695801e-7
0.040500,-1.370000006772898e-7
0.040750,-3.799999959142042e-8
0.041000,-2.6499998284634785e-7
0.041250,-3.029999788850546e-7
0.041500,-5.899999564462632e-7
0.041750,-4.159999775765755e-7
0.042000,-4.159999775765755e-7
0.042250,-1.9899999870176543e-7
0.042500,-3.8700000004610047e-7
0.042750,-1.370000006772898e-7
0.043000,-1.370000006772898e-7
0.043250,-1.370000006772898e-7
0.043500,-2.879999954075174e-7
0.043750,-8.49999963747905e-8
0.044000,-1.9899999870176543e-7
0.044250,7.499999554738679e-8
0.044500,-2.879999954075174e-7
0.044750,1.4100000100825127e-7
0.045000,3.699999950868005e-8
0.045250,-2.879999954075174e-7
0.045500,-1.6099998845220398e-7
0.045750,2.799999876401671e-8
0.046000,-9.999999406318238e-8
0.046250,-4.159999775765755e-7
0.046500,-2.3599999110501813e-7
0.046750,-2.269999868076411e-7
0.047000,3.699999950868005e-8
0.047250,-1.9899999870176543e-7
0.047500,-1.9899999870176543e-7
0.047750,-2.1299999275470327e-7
0.048000,-3.029999788850546e-7
0.048250,-4.159999775765755e-7
0.048500,-3.4999999343199306e-7
0.048750,1.5099999473022763e-7
0.049000,-1.1399999522154758e-7
0.049250,-2.3999998433055225e-8
0.049500,1.4100000100825127e-7
0.049750,-9.99999993922529e-9
0.050000,-3.8700000004610047e-7
0.050250,1.1299999869152089e-7
0.050500,-3.7799998153786873e-7
0.050750,5.0999997114331563e-8
0.051000,-1.9899999870176543e-7
0.051250,-4.159999775765755e-7
0.051500,-1.8899999076893437e-7
0.051750,-4.799999686611045e-8
0.052000,3.699999950868005e-8
0.052250,-3.4999999343199306e-7
0.052500,1.0299999786411718e-7
0.052750,-5.530000066755747e-7
0.053000,-2.1299999275470327e-7
0.053250,-3.7799998153786873e-7
0.053500,-3.4999999343199306e-7
0.053750,-5.669999723068031e-7
