timestamp,voltage_uV
0.6089506149291992,4125
0.9110238552093506,24500
1.2126331329345703,33375
1.5143980979919434,41625
1.8153986930847168,79875
2.1176598072052,88125
2.4200003147125244,95875
2.721271276473999,104875
3.022677421569824,109875
3.324373483657837,116000
3.626126766204834,121750
3.927354335784912,93375
4.228428363800049,129875
4.530084609985352,135250
4.8326733112335205,143125
5.134340763092041,116750
5.435092926025391,122250
5.7368974685668945,126250
6.037614583969116,168625
6.3389341831207275,174750
6.6396403312683105,181375
6.942302703857422,185625
7.252634525299072,181875
7.553696155548096,164500
7.854191303253174,169625
8.155969858169556,207625
8.456679344177246,214375
8.757466077804565,187500
9.058810949325562,227000
9.359626293182373,235375
9.660294771194458,201875
9.960894346237183,242500
10.262160301208496,219000
10.564250230789185,255625
10.865458250045776,226625
11.166759729385376,257625
11.467881202697754,236500
11.770086288452148,280625
12.070899248123169,283625
12.37215280532837,254500
12.672950744628906,297125
12.979416847229004,300375
13.280432939529419,308750
13.581981420516968,278125
13.883108377456665,316000
14.185843229293823,326000
14.48680591583252,296000
14.788280248641968,299375
15.088980197906494,343625
15.390881061553955,347500
15.691127061843872,319125
15.99246096611023,358625
16.293442249298096,365750
16.595869779586792,369500
16.89735698699951,376375
17.197834491729736,344500
17.498994827270508,387625
17.799867391586304,389000
18.101060390472412,363375
18.402443170547485,403125
18.704033374786377,373875
19.00600504875183,379625
19.30708909034729,420875
19.608705043792725,393625
19.909923553466797,433250
20.210217714309692,436375
20.510803937911987,410375
20.812139987945557,413375
21.11303997039795,449375
21.41440510749817,459750
21.716187953948975,429250
22.017277002334595,466875
22.317819833755493,477250
22.619514226913452,446500
22.920552492141724,485625
23.22182536125183,493250
23.52245306968689,494750
23.82436752319336,504500
24.12543559074402,510125
24.426798582077026,479125
24.727628707885742,518125
25.029156923294067,527375
25.330342292785645,532625
25.631409406661987,538250
25.932164669036865,544250
26.233285188674927,517250
26.53412365913391,554000
26.835256338119507,561250
27.136179208755493,529125
27.4381422996521,537000
27.73882007598877,577875
28.04012703895569,582250
28.34188222885132,553625
28.643823385238647,561250
28.94491934776306,600125
29.246601819992065,569250
29.547640800476074,575500
29.849773406982422,616125
30.151559591293335,619625
30.451948404312134,591000
30.752970218658447,633375
31.054450511932373,637750
31.355898141860962,641250
31.657524585723877,617500
31.959036350250244,655500
32.259804010391235,661000
32.56181859970093,629000
32.86272954940796,670500
33.16358494758606,677375
33.46607971191406,681750
33.7681028842926,653125
34.068782567977905,657625
34.37009286880493,697375
34.67180347442627,668375
34.97349309921265,708750
35.274447441101074,683875
35.57527804374695,718875
35.87683320045471,726250
36.17876863479614,731625
36.48030734062195,702250
36.78160285949707,742000
37.082929372787476,712875
37.38511371612549,751375
37.68635058403015,724375
37.98702812194824,761500
38.289183139801025,769250
38.59002327919006,772000
38.89177393913269,780875
39.19267249107361,749750
39.49464201927185,758125
39.796284437179565,759375
40.09718155860901,801625
40.398139238357544,802875
40.69961214065552,812125
41.001054763793945,782500
41.302114963531494,793250
41.603599071502686,791875
41.90540862083435,833375
42.20605707168579,808500
42.50746512413025,844750
42.80819630622864,847875
43.11029887199402,852500
43.41177940368652,824500
43.713547468185425,831750
44.0146119594574,865625
44.31585931777954,839875
44.616915464401245,880500
44.91745638847351,851625
45.21800899505615,860250
45.52006220817566,859500
45.821993589401245,867875
46.123300075531006,874875
46.42449402809143,877250
46.72626352310181,919875
47.02744698524475,924500
47.32880520820618,929500
47.629600286483765,934875
47.93110632896423,939500
48.232237577438354,913375
48.53284502029419,914750
48.83348608016968,956250
49.13446664810181,960625
49.435277223587036,965125
49.735475301742554,971000
50.03646183013916,975625
50.33787822723389,947250
50.63853931427002,950500
50.93910312652588,989375
51.23944687843323,966125
51.54050660133362,998750
51.841472864151,972875
52.142454624176025,977875
52.44345569610596,983375
52.74549412727356,1024500
53.04624605178833,1029125
53.34686231613159,998500
53.647849798202515,1005250
53.94972491264343,1008750
54.25191354751587,1016750
54.552753925323486,1055375
54.853415727615356,1023750
55.15566658973694,1030750
55.45666861534119,1036000
55.75782012939453,1074750
56.05883073806763,1045625
56.35962200164795,1051250
56.660982847213745,1090750
56.96189045906067,1072625
57.262680768966675,1065375
57.56354999542236,1104375
57.864882707595825,1109750
58.1657600402832,1114375
58.46606254577637,1088125
58.76806306838989,1126125
59.06913709640503,1132125
59.370617389678955,1102250
59.671478033065796,1142875
59.97326946258545,1141375
60.274365186691284,1151375
60.57491397857666,1123625
60.876062870025635,1161750
61.17762851715088,1168875
61.47785687446594,1173375
61.779539823532104,1178125
62.08138871192932,1148250
62.383458852767944,1188250
62.68396329879761,1157125
62.98494625091553,1196875
63.28624701499939,1170625
63.587910413742065,1173750
63.88851523399353,1210500
64.19017481803894,1187125
64.49126052856445,1223375
64.79359078407288,1229375
65.09426832199097,1230875
65.39601826667786,1205000
65.69789242744446,1241375
65.99922776222229,1248250
66.30049133300781,1245875
66.60183668136597,1259625
66.90319871902466,1230000
67.20431876182556,1234875
67.50553059577942,1273125
67.80640697479248,1278750
68.10714149475098,1285125
68.41042566299438,1288625
68.7112545967102,1260625
69.01240015029907,1297750
69.31320190429688,1269250
69.61509943008423,1280375
69.91610646247864,1313875
70.21707463264465,1320000
70.51766920089722,1290375
70.8195149898529,1326625
71.12185573577881,1333625
71.42338585853577,1306625
71.72439670562744,1311250
72.02620148658752,1314125
72.32704424858093,1353625
72.62799549102783,1359625
72.92959809303284,1364000
73.23146796226501,1365875
73.53261852264404,1373875
73.83358812332153,1378625
74.1354410648346,1348375
74.4371554851532,1387875
