timestamp,current_A,voltage_V,power_W,energy_J
5,6.08786940574646e-09,3.0074300387668425,1.4615803956985474e-08,1.4615803956985473e-10
14,-2.4180859327316285e-09,3.0075615703113843,-1.0970979928970338e-08,-1.0970979928970338e-10
25,6.04451633989811e-09,3.007446026444063,1.4449656009674072e-08,1.4449656009674073e-10
37,-2.5577377527952195e-09,3.0073761551279574,-1.1407583951950074e-08,-1.1407583951950075e-10
47,5.995528772473336e-09,3.007560709354142,1.4320760965347291e-08,1.4320760965347292e-10
57,-2.4924054741859437e-09,3.0073809192577845,-1.1232495307922364e-08,-1.1232495307922364e-10
67,5.817366763949395e-09,3.007479498825688,1.3775378465652466e-08,1.3775378465652467e-10
75,-2.438155934214592e-09,3.0074841909552927,-1.1000782251358033e-08,-1.1000782251358034e-10
105,5.924748256802559e-09,3.007437568192603,1.4108419418334962e-08,1.4108419418334962e-10
126,-2.203602343797684e-09,3.0075348701807205,-1.0383129119873048e-08,-1.0383129119873049e-10
129,5.88027760386467e-09,3.0073442945162303,1.3994425535202027e-08,1.3994425535202027e-10
129,-2.2195279598236084e-09,3.0075595969628077,-1.0359287261962891e-08,-1.0359287261962892e-10
129,5.892105400562286e-09,3.007413711625664,1.398324966430664e-08,1.398324966430664e-10
135,-2.1702144294977187e-09,3.007382902212581,-1.0246038436889648e-08,-1.0246038436889649e-10
146,5.788542330265046e-09,3.0075529202887323,1.368597149848938e-08,1.368597149848938e-10
155,-2.4133361876010894e-09,3.007345171254734,-1.0966509580612183e-08,-1.0966509580612182e-10
165,5.842093378305435e-09,3.007482351310132,1.3844668865203858e-08,1.3844668865203858e-10
174,-2.446025609970093e-09,3.007418551744288,-1.1096149682998658e-08,-1.1096149682998659e-10
185,5.8686360716819764e-09,3.0074131677781697,1.4018267393112184e-08,1.4018267393112184e-10
196,-2.2029969841241837e-09,3.0075514918059114,-1.0325759649276734e-08,-1.0325759649276735e-10
205,5.707424134016037e-09,3.007299497713661,1.3450533151626588e-08,1.345053315162659e-10
