timestamp,current_A,voltage_V,power_W,energy_J
1,-1.0319007560610771e-08,2.2554876906946304,-2.6988238096237183e-08,-2.698823809623718e-10
11,1.25108752399683e-08,2.2554282115812416,2.4546682834625244e-08,2.4546682834625246e-10
21,-1.0130926966667175e-08,2.2553525224973914,-2.6585161685943604e-08,-2.65851616859436e-10
33,1.2462586164474488e-08,2.2554682702653577,2.441629767417908e-08,2.441629767417908e-10
41,-1.0371627286076546e-08,2.255316895490466,-2.712085843086243e-08,-2.712085843086243e-10
51,1.2326799333095552e-08,2.2555157496498897,2.409741282463074e-08,2.409741282463074e-10
61,-1.0333023965358735e-08,2.2554564913053534,-2.7008354663848877e-08,-2.7008354663848875e-10
71,1.2658955529332162e-08,2.2553324770308567,2.48640775680542e-08,2.4864077568054204e-10
95,-1.0414840653538704e-08,2.2556058302937076,-2.718344330787659e-08,-2.718344330787659e-10
125,1.2449873611330986e-08,2.2553729100137483,2.4371594190597535e-08,2.4371594190597537e-10
132,-1.0411953553557396e-08,2.2555280471557286,-2.720281481742859e-08,-2.720281481742859e-10
132,1.2709014117717743e-08,2.2554122596187054,2.4969130754470826e-08,2.4969130754470826e-10
132,-1.0348530486226083e-08,2.255347967627179,-2.7094036340713503e-08,-2.70940363407135e-10
132,1.2558745220303535e-08,2.255495660814224,2.456977963447571e-08,2.4569779634475713e-10
143,-1.0295631363987923e-08,2.25528724615369,-2.690553665161133e-08,-2.690553665161133e-10
153,1.2560654431581498e-08,2.2554370245977773,2.460479736328125e-08,2.460479736328125e-10
163,-1.0294606909155846e-08,2.25541631895639,-2.691522240638733e-08,-2.691522240638733e-10
172,1.2596976011991501e-08,2.255353816671064,2.469867467880249e-08,2.469867467880249e-10
182,-1.0490510612726212e-08,2.2555314752489797,-2.738460898399353e-08,-2.738460898399353e-10
193,1.238505356013775e-08,2.2553325534000064,2.421736717224121e-08,2.421736717224121e-10
203,-1.0740384459495545e-08,2.255500560499588,-2.7947872877120972e-08,-2.7947872877120974e-10
213,1.2475624680519104e-08,2.255396487412369,2.4437904357910158e-08,2.443790435791016e-10
223,-1.095188781619072e-08,2.2553940197261984,-2.8409808874130252e-08,-2.8409808874130253e-10
234,1.2290850281715394e-08,2.2555899154495447,2.3995339870452882e-08,2.399533987045288e-10
244,-1.070578582584858e-08,2.2553865760647227,-2.7845054864883425e-08,-2.7845054864883425e-10
254,1.2444984167814255e-08,2.2555219265256077,2.4328380823135378e-08,2.4328380823135377e-10
263,-1.0703876614570618e-08,2.2554534461424223,-2.784356474876404e-08,-2.784356474876404e-10
274,1.266789622604847e-08,2.2553823888205926,2.4849921464920045e-08,2.4849921464920044e-10
281,-1.0846881195902825e-08,2.25556076520537,-2.8189271688461304e-08,-2.8189271688461304e-10
292,1.2595579028129578e-08,2.2553341484471225,2.468898892402649e-08,2.4688988924026494e-10
303,-1.0776147246360779e-08,2.255516440863302,-2.7998536825180056e-08,-2.7998536825180055e-10
312,1.2516090646386146e-08,2.2554403408892454,2.4545937776565553e-08,2.4545937776565553e-10
321,-1.0742712765932083e-08,2.2554058338353875,-2.793446183204651e-08,-2.7934461832046513e-10
331,1.2707849964499475e-08,2.2555081091044937,2.495497465133667e-08,2.495497465133667e-10
343,-1.0737497359514237e-08,2.2553136398223694,-2.78964638710022e-08,-2.78964638710022e-10
351,1.2886151671409608e-08,2.2554990553848913,2.5341659784317017e-08,2.534165978431702e-10
362,-1.0746996849775315e-08,2.2554422167208514,-2.7957558631896974e-08,-2.7957558631896974e-10
372,1.290435902774334e-08,2.25533882623869,2.5369226932525637e-08,2.536922693252564e-10
382,-1.0750023648142814e-08,2.2555494035796264,-2.7935951948165896e-08,-2.7935951948165894e-10
392,1.2890622019767762e-08,2.2553706938586666,2.5380402803421023e-08,2.5380402803421024e-10
402,-1.0747462511062623e-08,2.2555609243341257,-2.796873450279236e-08,-2.796873450279236e-10
413,1.2649875134229661e-08,2.2554088821814395,2.480223774909973e-08,2.480223774909973e-10
423,-1.0678637772798539e-08,2.2554112535368187,-2.7772784233093264e-08,-2.7772784233093264e-10
433,1.2863846495747566e-08,2.255598099628184,2.5302171707153323e-08,2.5302171707153323e-10
443,-1.0763062164187432e-08,2.2553554653604984,-2.7992576360702517e-08,-2.799257636070252e-10
453,1.2840004637837411e-08,2.2555515258341097,2.520456910133362e-08,2.520456910133362e-10
463,-1.0881153866648674e-08,2.255456815942982,-2.8260797262191775e-08,-2.8260797262191777e-10
473,1.2768432497978211e-08,2.2553781460764353,2.5112181901931765e-08,2.5112181901931767e-10
484,-1.0776473209261895e-08,2.255540236244723,-2.8020143508911134e-08,-2.8020143508911135e-10
494,1.3030460104346276e-08,2.2553527593757026,2.566725015640259e-08,2.566725015640259e-10
504,-1.0635657235980034e-08,2.25556586522609,-2.770870923995972e-08,-2.770870923995972e-10
514,1.3029668480157853e-08,2.2554569313261195,2.5715678930282595e-08,2.5715678930282596e-10
524,-1.0770419612526894e-08,2.2554052230416333,-2.8011202812194826e-08,-2.801120281219483e-10
534,1.2887967750430107e-08,2.255556047199946,2.5372207164764406e-08,2.5372207164764405e-10
541,-1.080813817679882e-08,2.255356313493848,-2.8083473443984988e-08,-2.808347344398499e-10
553,1.2977374717593193e-08,2.255542844996974,2.554282546043396e-08,2.554282546043396e-10
561,-1.0795565322041513e-08,2.2554384004437367,-2.8048455715179445e-08,-2.804845571517945e-10
571,1.310110092163086e-08,2.2554444380737375,2.5843083858489993e-08,2.584308385848999e-10
582,-1.0803993791341781e-08,2.255587355783023,-2.8058886528015137e-08,-2.8058886528015136e-10
591,1.2925546616315842e-08,2.2553347200908234,2.5412440299987793e-08,2.541244029998779e-10
603,-1.0861735790967942e-08,2.255559060971718,-2.8248876333236695e-08,-2.82488763332367e-10
612,1.2955907732248307e-08,2.255499118798273,2.551674842834473e-08,2.5516748428344727e-10
622,-1.0744435712695123e-08,2.255409982942464,-2.7967244386672976e-08,-2.7967244386672974e-10
633,1.3178260996937752e-08,2.255558160699951,2.6041269302368165e-08,2.6041269302368167e-10
642,-1.0610604658722878e-08,2.255343929751078,-2.76125967502594e-08,-2.76125967502594e-10
653,1.2911576777696611e-08,2.255536297010724,2.5398284196853638e-08,2.539828419685364e-10
662,-1.0929862037301064e-08,2.2554335785236677,-2.834126353263855e-08,-2.834126353263855e-10
672,1.2975744903087617e-08,2.2553610484559554,2.552717924118042e-08,2.552717924118042e-10
682,-1.0842178016901016e-08,2.2555277635338253,-2.8131902217864992e-08,-2.8131902217864995e-10
693,1.3022776693105698e-08,2.255357923647668,2.571195363998413e-08,2.571195363998413e-10
703,-1.085442490875721e-08,2.255513739905879,-2.8165429830551147e-08,-2.816542983055115e-10
713,1.292233355343342e-08,2.2553636346346235,2.5422126054763795e-08,2.54221260547638e-10
724,-1.0791653767228127e-08,2.2553439542002978,-2.807825803756714e-08,-2.807825803756714e-10
733,1.305351033806801e-08,2.2554974476441743,2.5736540555953982e-08,2.5736540555953983e-10
744,-1.0844273492693901e-08,2.255369969415851,-2.8167665004730226e-08,-2.8167665004730224e-10
753,1.297709532082081e-08,2.2555241998581215,2.559199929237366e-08,2.559199929237366e-10
763,-1.0944437235593796e-08,2.2554481043185572,-2.838447690010071e-08,-2.838447690010071e-10
774,1.297895796597004e-08,2.2554030664877502,2.558976411819458e-08,2.558976411819458e-10
784,-1.0771537199616433e-08,2.2555674210200087,-2.801567316055298e-08,-2.801567316055298e-10
794,1.310287043452263e-08,2.2554334284638986,2.5834888219833376e-08,2.5834888219833377e-10
801,-1.1178478598594666e-08,2.2556013355901467,-2.8921663761138917e-08,-2.892166376113892e-10
810,1.2995908036828041e-08,2.2554909976291007,2.560466527938843e-08,2.560466527938843e-10
821,-1.0803621262311936e-08,2.2554520567772913,-2.8073787689208986e-08,-2.807378768920899e-10
830,1.3146130368113518e-08,2.2555455738674386,2.5897473096847536e-08,2.589747309684754e-10
842,-1.1027185246348382e-08,2.255365893516224,-2.8614699840545656e-08,-2.8614699840545656e-10
852,1.3333233073353769e-08,2.255522281447379,2.6357173919677737e-08,2.635717391967774e-10
862,-1.0904157534241678e-08,2.255413092351286,-2.828091382980347e-08,-2.828091382980347e-10
