timestamp,voltage_uV,reflected_power_dbm
-0.12503671646118164,6000,-8.158826065063476
0.19191670417785645,15250,-6.382770729064942
0.518500804901123,17750,-6.4424440383911135
0.8522534370422363,20000,-6.5025169372558596
1.1757574081420898,22125,-6.4286376953125
1.5092637538909912,24125,-6.456601333618164
1.8361754417419434,26000,-6.461207580566406
2.1769471168518066,27875,-6.470256996154785
2.503779411315918,29750,-6.477570724487305
2.843719244003296,31625,-6.463528823852539
3.1705243587493896,33500,-6.497158241271973
3.50430965423584,35250,-6.469356727600098
3.843972682952881,37125,-6.507909965515137
4.171494483947754,38875,-6.472236824035645
4.495000600814819,40625,-6.475379180908203
4.828326940536499,42500,-6.439940643310547
5.161963701248169,44125,-6.468287658691406
5.495498895645142,45875,-6.463834953308106
5.829202651977539,47625,-6.482200813293457
6.155867099761963,49500,-6.530214500427246
6.496247291564941,51125,-6.514288139343262
6.813273191452026,52875,-6.471638870239258
7.1573004722595215,54625,-6.515454483032227
7.485262870788574,56250,-6.590199661254883
7.807374000549316,58000,-6.548452568054199
8.140711784362793,59625,-6.528022003173828
8.475422143936157,61375,-6.533615303039551
8.808661460876465,63125,-6.537660789489746
9.131252765655518,64750,-6.548679542541504
9.465152978897095,66625,-6.6080114364624025
9.799070835113525,68250,-6.605075073242188
10.132259607315063,69875,-6.597443771362305
10.466448307037354,71375,-6.61104793548584
10.797731637954712,73250,-6.585912895202637
11.126049757003784,74750,-6.6331932067871096
11.460180044174194,76500,-6.685880851745606
11.791881322860718,78250,-6.612452697753906
12.11693549156189,79750,-6.589383316040039
12.450506925582886,81500,-6.614155006408692
12.784371852874756,83125,-6.668113899230957
13.117436408996582,84875,-6.662375640869141
13.444621324539185,86375,-6.690455627441406
13.778822898864746,88125,-6.675279808044434
14.111643314361572,89625,-6.753211212158203
14.435183763504028,91250,-6.718157958984375
14.761996507644653,93000,-6.68773193359375
15.097650527954102,94500,-6.707950782775879
15.429347276687622,96125,-6.718740653991699
15.752954006195068,97875,-6.717134666442871
16.08654761314392,99500,-6.7246801376342775
16.419912815093994,101125,-6.75451774597168
16.75336766242981,102750,-6.75764102935791
17.08698797225952,104250,-6.827593994140625
17.41398859024048,106000,-6.739429664611817
17.747917890548706,107500,-6.7041770935058596
18.081347465515137,109125,-6.737444114685059
18.404635429382324,110750,-6.699269485473633
18.738574266433716,112375,-6.737632942199707
19.071868419647217,114125,-6.707325172424317
19.40578055381775,115500,-6.741868209838867
19.738987922668457,117125,-6.784788322448731
20.06600546836853,118625,-6.780726623535156
20.391839504241943,120375,-6.827358436584473
20.72300434112549,121875,-6.918423843383789
21.056527614593506,123500,-6.801634025573731
21.390144109725952,125125,-6.856285285949707
21.72362446784973,126500,-6.883197021484375
22.05157160758972,128250,-6.854768943786621
22.384088277816772,129750,-6.930279922485352
22.71767020225525,131500,-6.8517505645751955
23.05126976966858,133000,-6.875165176391602
23.374715328216553,134500,-6.852740478515625
23.708543300628662,136000,-6.87258358001709
24.04233431816101,137750,-6.847930145263672
24.37548851966858,139375,-6.870078277587891
24.702577114105225,140750,-6.821986389160156
25.036155700683594,142250,-6.804376792907715
25.359421968460083,144000,-6.79359073638916
25.69308853149414,145375,-6.7831117630004885
26.020142078399658,147000,-6.7572423934936525
26.360920906066895,148500,-6.795371246337891
26.68801999092102,150125,-6.750508499145508
27.02758264541626,151750,-6.765178871154785
27.35446524620056,153250,-6.879811477661133
27.68827176094055,154875,-6.800204467773438
28.01209568977356,156375,-6.755155754089356
28.34544062614441,157750,-6.838886451721192
28.678699016571045,159375,-6.8222705841064455
29.01273488998413,161000,-6.802792739868164
29.345593690872192,162500,-6.820881080627442
29.672682285308838,164125,-6.832754325866699
30.013460159301758,165625,-6.812800598144531
30.34033203125,167125,-6.847794723510742
30.68068552017212,168625,-6.779630851745606
31.01336646080017,170125,-6.835464668273926
31.330342054367065,171500,-6.7800600051879885
31.664088249206543,173250,-6.753230285644531
31.997838258743286,174875,-6.775631141662598
32.33136773109436,176375,-6.786310386657715
32.664735555648804,177875,-6.835836601257324
32.99829864501953,179375,-6.784144592285156
33.31827974319458,180750,-6.819388580322266
33.649030923843384,182375,-6.749837112426758
33.98249053955078,184000,-6.780465316772461
34.3159556388855,185375,-6.799018096923828
34.649487018585205,186875,-6.7345325469970705
34.982882261276245,188625,-6.83539981842041
35.31080222129822,190000,-6.780459594726563
35.63868975639343,191625,-6.839610290527344
35.977070569992065,193000,-6.784449768066406
36.31135106086731,194375,-6.766750526428223
36.63442349433899,196125,-6.813759994506836
36.96803951263428,197625,-6.851287078857422
37.29781484603882,199125,-6.832236480712891
37.63140249252319,200375,-6.836311531066895
37.95202708244324,202125,-6.8552600860595705
38.29624557495117,203250,-6.785915565490723
38.61897659301758,205125,-6.908195686340332
38.95247030258179,206625,-6.821224403381348
39.279340505599976,207875,-6.909783554077149
39.615450382232666,209625,-6.896308135986328
39.94654846191406,211125,-6.861078453063965
40.280335903167725,212500,-6.841471862792969
40.60369825363159,214000,-6.76959342956543
40.937257528305054,215625,-6.7550355911254885
41.2718563079834,217000,-6.758576583862305
41.60521650314331,218500,-6.794271659851074
41.93135356903076,220000,-6.745622825622559
42.26645350456238,221375,-6.78785343170166
42.58868408203125,222875,-6.787514877319336
42.92610502243042,224500,-6.725917053222656
43.27239274978638,226000,-6.7766468048095705
43.60605597496033,227625,-6.775703620910645
43.93443965911865,229125,-6.853787612915039
44.26011300086975,230250,-6.854949188232422
44.583399057388306,231875,-6.803716850280762
44.91817784309387,233375,-6.793740463256836
