timestamp,current_A,voltage_V,power_W,energy_J
10,-3.0539929866790775e-09,2.0087155518999324,-9.807199239730835e-09,-9.807199239730836e-11
20,6.089359521865845e-09,2.0087362586805133,8.562207221984863e-09,8.562207221984864e-11
33,-3.1840987503528598e-09,2.0088465099243447,-1.0064244270324707e-08,-1.0064244270324708e-10
41,5.989288911223412e-09,2.008673785169516,8.37966799736023e-09,8.37966799736023e-11
51,-3.1616538763046265e-09,2.0088813907058447,-1.0079890489578247e-08,-1.0079890489578247e-10
62,5.939882248640061e-09,2.008728080224758,8.243322372436524e-09,8.243322372436524e-11
72,-3.2552517950534823e-09,2.0087782764052973,-1.0226666927337647e-08,-1.0226666927337647e-10
94,5.9910118579864505e-09,2.0088494544235527,8.351355791091919e-09,8.351355791091919e-11
124,-3.1868461519479752e-09,2.0086305736546404,-1.0081380605697632e-08,-1.0081380605697632e-10
131,5.8014877140522006e-09,2.0088624766250143,7.974356412887573e-09,7.974356412887574e-11
131,-3.171432763338089e-09,2.0086722980858758,-1.0057538747787476e-08,-1.0057538747787476e-10
131,5.898764356970787e-09,2.0087073643636426,8.11070203781128e-09,8.110702037811279e-11
132,-2.9725953936576845e-09,2.008796867293585,-9.708851575851442e-09,-9.708851575851441e-11
143,6.00423663854599e-09,2.0086301153161097,8.34539532661438e-09,8.34539532661438e-11
153,-2.9383692890405656e-09,2.008890631045774,-9.579956531524659e-09,-9.579956531524659e-11
163,6.000138819217682e-09,2.00875028415625,8.27684998512268e-09,8.276849985122681e-11
173,-3.097904846072197e-09,2.0087409508534706,-9.934604167938233e-09,-9.934604167938234e-11
183,5.91035932302475e-09,2.008822750950884,8.146464824676515e-09,8.146464824676514e-11
193,-3.0529685318470003e-09,2.0086599226572086,-9.838491678237915e-09,-9.838491678237915e-11
201,5.908822640776634e-09,2.0088673193769067,8.142739534378052e-09,8.142739534378051e-11
210,-2.899346873164177e-09,2.008741315620346,-9.512156248092653e-09,-9.512156248092653e-11
220,5.781976506114006e-09,2.008723430370772,7.897615432739258e-09,7.897615432739258e-11
231,-2.7793925255537034e-09,2.0088287606543864,-9.344518184661865e-09,-9.344518184661865e-11
241,5.688657984137535e-09,2.0086355476486033,7.76723027229309e-09,7.767230272293091e-11
250,-2.749590203166008e-09,2.0088731327876914,-9.241700172424318e-09,-9.241700172424318e-11
261,5.677109584212304e-09,2.0086725358382336,7.671117782592774e-09,7.671117782592774e-11
271,-2.652360126376152e-09,2.0087075142113027,-9.024888277053833e-09,-9.024888277053833e-11
281,5.770847201347352e-09,2.0087362403458915,7.887184619903564e-09,7.887184619903564e-11
291,-2.6410445570945743e-09,2.0086107008184775,-9.025633335113526e-09,-9.025633335113525e-11
301,5.837110802531242e-09,2.0088161621832756,8.039921522140503e-09,8.039921522140503e-11
312,-2.559693530201912e-09,2.0086995357943698,-8.868426084518434e-09,-8.868426084518434e-11
322,5.625467747449875e-09,2.008706203997368,7.584691047668457e-09,7.584691047668457e-11
332,-2.418598160147667e-09,2.0087958974420093,-8.5487961769104e-09,-8.5487961769104e-11
342,5.893735215067864e-09,2.008585849543987,8.144974708557129e-09,8.144974708557128e-11
352,-2.3867934942245485e-09,2.008806766850548,-8.475780487060546e-09,-8.475780487060546e-11
362,5.812756717205048e-09,2.008651214172691,8.007138967514038e-09,8.007138967514038e-11
373,-2.2743362933397294e-09,2.0087425313610585,-8.273869752883911e-09,-8.273869752883911e-11
383,5.788961425423623e-09,2.0088330286850224,7.946789264678955e-09,7.946789264678955e-11
393,-2.3439060896635056e-09,2.0086708009127996,-8.393824100494385e-09,-8.393824100494385e-11
403,5.830219015479088e-09,2.008868854544824,8.009374141693115e-09,8.009374141693115e-11
413,-2.1263491362333298e-09,2.0086829645531252,-7.983297109603883e-09,-7.983297109603882e-11
423,5.837157368659974e-09,2.0087346350240987,7.999688386917115e-09,7.999688386917116e-11
433,-2.146093174815178e-09,2.008792364521185,-8.022785186767578e-09,-8.022785186767578e-11
443,5.7049095630645755e-09,2.0085930959627967,7.738173007965088e-09,7.738173007965087e-11
451,-2.253986895084381e-09,2.0088209206145256,-8.231401443481445e-09,-8.231401443481446e-11
460,5.813175812363625e-09,2.0086610281753354,7.961690425872803e-09,7.961690425872802e-11
470,-2.1567102521657943e-09,2.0087078216467984,-8.013099431991578e-09,-8.013099431991578e-11
480,5.74067234992981e-09,2.0087662138444373,7.845461368560792e-09,7.845461368560792e-11
491,-2.0265113562345507e-09,2.0086416748879943,-7.79852271080017e-09,-7.798522710800171e-11
502,5.6641176342964175e-09,2.0088774887563194,7.630139589309692e-09,7.630139589309692e-11
510,-2.0309351384639743e-09,2.0087280805701857,-7.76350498199463e-09,-7.763504981994629e-11
521,5.55175356566906e-09,2.0087373710177374,7.469207048416137e-09,7.469207048416137e-11
531,-1.946045085787773e-09,2.0088288397692144,-7.684528827667237e-09,-7.684528827667238e-11
541,5.631335079669953e-09,2.0086354754720817,7.659941911697388e-09,7.659941911697388e-11
553,-2.0240899175405503e-09,2.0088607401372864,-7.790327072143555e-09,-7.790327072143556e-11
561,5.318783223628998e-09,2.0086869175866715,6.981194019317627e-09,6.981194019317628e-11
572,-2.0760111510753634e-09,2.0086399642641193,-7.925182580947877e-09,-7.925182580947876e-11
582,5.4175965487957e-09,2.0086934224924073,7.1391463279724125e-09,7.139146327972412e-11
592,-2.052588388323784e-09,2.008513674968388,-7.819384336471558e-09,-7.819384336471558e-11
603,5.152169615030289e-09,2.008754537112126,6.666034460067749e-09,6.666034460067749e-11
612,-2.2630672901868823e-09,2.0086086696565153,-8.252263069152833e-09,-8.252263069152833e-11
621,5.0593633204698565e-09,2.0086734074708077,6.4641237258911136e-09,6.464123725891114e-11
632,-2.2201333194971087e-09,2.0087676507484633,-8.14199447631836e-09,-8.14199447631836e-11
643,5.06676733493805e-09,2.0086226590495557,6.458163261413574e-09,6.458163261413574e-11
653,-2.3031141608953476e-09,2.0088354856206103,-8.335709571838379e-09,-8.335709571838379e-11
663,5.127256736159325e-09,2.008635098723741,6.592273712158203e-09,6.592273712158203e-11
673,-2.277502790093422e-09,2.0087042157914956,-8.273869752883911e-09,-8.273869752883911e-11
683,5.089258775115013e-09,2.0087615645085464,6.5535306930541996e-09,6.553530693054199e-11
693,-2.2827181965112686e-09,2.0086376375932713,-8.314847946166993e-09,-8.314847946166993e-11
703,4.848092794418335e-09,2.0088491943727247,6.061047315597534e-09,6.061047315597534e-11
