timestamp,voltage_uV,reflected_power_dbm
2.7403457164764404,1783125,-16.650233459472656
3.0694050788879395,1782625,-10.758071136474609
3.393162488937378,1783125,-10.759256553649902
3.71457839012146,1782125,-11.893049430847167
4.041754961013794,1782250,-11.813481521606445
4.369289398193359,1782875,-11.883450698852538
4.707446336746216,1782875,-11.830228042602538
5.031171560287476,1782875,-11.768386077880859
5.360127925872803,1783625,-11.848030281066894
5.69017767906189,1783375,-11.78432102203369
6.022244930267334,1783750,-11.870060157775878
6.353562355041504,1784500,-11.813883972167968
6.6859729290008545,1783375,-11.865206909179687
7.018569469451904,1784625,-11.88043041229248
7.346181631088257,1784625,-11.943791580200195
7.679289102554321,1784000,-11.875883293151855
8.006726503372192,1785000,-11.800692749023437
8.340266466140747,1784875,-11.81378002166748
8.670992851257324,1784500,-11.8309757232666
9.002281665802002,1784375,-11.773855400085449
9.331319570541382,1785125,-11.862806510925292
9.667356252670288,1785625,-11.812177848815917
9.99873423576355,1785375,-11.963057708740234
10.32559323310852,1785250,-11.853516769409179
10.66129469871521,1785250,-11.926177215576171
10.99249815940857,1785750,-11.89865322113037
11.323229789733887,1785250,-11.978937339782714
11.65583872795105,1786000,-11.982122611999511
11.989309072494507,1787000,-11.834692192077636
12.31659722328186,1785750,-11.837721061706542
12.651417255401611,1786000,-11.86910171508789
12.98207139968872,1787500,-11.804516983032226
13.3145911693573,1786875,-11.888870429992675
13.649365186691284,1787125,-11.828220558166503
13.971196413040161,1786625,-11.99696750640869
14.307323694229126,1787000,-11.860518646240234
14.648373365402222,1787875,-11.929897499084472
14.973066091537476,1787750,-11.894393157958984
15.302828788757324,1787125,-11.939494323730468
15.630115747451782,1788500,-12.09657974243164
15.967012166976929,1787250,-11.908770751953124
16.294130086898804,1788000,-11.889455986022949
16.64437437057495,1789375,-11.916733932495116
16.96698570251465,1788000,-11.846683692932128
17.28869891166687,1788750,-11.923430633544921
17.620537042617798,1821375,-11.884671401977538
17.954265594482422,1788750,-12.01556224822998
18.285046100616455,1788750,-11.945444297790527
18.61754035949707,1788125,-11.93691463470459
18.948859214782715,1789000,-11.95491428375244
19.282981395721436,1789375,-11.87489719390869
19.61715078353882,1788375,-12.110805702209472
19.946895837783813,1789625,-11.966164779663085
20.275598526000977,1789375,-11.899299812316894
20.615594387054443,1789875,-11.898932647705077
20.944501161575317,1789375,-11.836948585510253
21.27315092086792,1792250,-11.953198623657226
21.601696014404297,1789750,-11.85548038482666
21.930789709091187,1790625,-11.956361961364745
22.262465715408325,1789375,-11.916064453125
22.59705090522766,1790125,-11.834126663208007
22.923272609710693,1791250,-11.91987247467041
23.25624418258667,1790500,-11.879429054260253
23.590471744537354,1791000,-12.052375984191894
23.92043161392212,1791000,-12.04987449645996
24.252589464187622,1791000,-11.908009719848632
24.580511808395386,1790875,-11.955929946899413
24.914332151412964,1792125,-11.848712158203124
25.24350357055664,1791500,-11.934120368957519
25.575414419174194,1791750,-11.89229793548584
25.906349658966064,1828625,-12.068332862854003
26.24341344833374,1792000,-11.91500015258789
26.573432683944702,1792625,-11.968749237060546
26.904791831970215,1792375,-11.914015007019042
27.251720905303955,1792375,-11.866069984436034
27.574737071990967,1793000,-11.940219116210937
27.903507471084595,1792375,-12.046370697021484
28.230594396591187,1792375,-11.998375129699706
28.5603289604187,1793000,-11.898431968688964
28.890548706054688,1792875,-11.850826454162597
29.21941304206848,1792875,-11.923133087158202
29.55339503288269,1793500,-11.889079284667968
29.888250589370728,1793375,-11.88555450439453
30.216089010238647,1793750,-11.89934844970703
30.544503688812256,1796375,-11.975356292724609
30.87714409828186,1794125,-11.941642951965331
31.21107792854309,1794250,-12.021319580078124
31.54249882698059,1794000,-11.946232986450195
31.872577905654907,1794250,-11.99145050048828
32.20659255981445,1794875,-12.123879623413085
32.5380380153656,1794000,-11.930581283569335
32.86666536331177,1794375,-11.919730377197265
33.194401264190674,1795500,-11.92422981262207
33.53132343292236,1794375,-11.87679214477539
33.86064052581787,1794875,-11.980262947082519
34.19252038002014,1796250,-11.916141700744628
34.52276968955994,1795375,-12.013640594482421
34.85467886924744,1795500,-11.953105163574218
35.185242652893066,1798750,-11.881920051574706
35.516111850738525,1794750,-11.87594051361084
35.84752607345581,1796250,-11.898587417602538
36.17405343055725,1795625,-12.112117958068847
36.50785970687866,1796250,-12.02746410369873
36.83852410316467,1796375,-12.037303161621093
37.172393798828125,1795875,-11.918617439270019
37.512489795684814,1796500,-11.890458297729491
37.83770418167114,1797625,-11.97805233001709
38.167096853256226,1796750,-11.902651977539062
38.49634003639221,1796875,-11.999342155456542
38.82742094993591,1797375,-11.95939655303955
39.16037034988403,1796125,-11.876750183105468
39.49023723602295,1797000,-11.947838973999023
39.820741415023804,1800625,-11.905602645874023
40.152546644210815,1797375,-11.998629760742187
40.48306941986084,1797750,-12.087535095214843
40.81306767463684,1797000,-11.906992149353027
41.146031618118286,1797500,-11.931047630310058
41.4743914604187,1797375,-11.888356399536132
41.80737924575806,1797750,-11.98250789642334
42.13841533660889,1798500,-11.90855140686035
42.47145342826843,1799000,-11.960494232177734
42.80009627342224,1798375,-11.920632553100585
43.13231921195984,1798750,-11.906235885620116
43.462502241134644,1800125,-11.949268531799316
43.7945921421051,1798625,-11.90683479309082
44.134151458740234,1798750,-11.963965606689452
44.45835518836975,1800250,-11.96477813720703
44.78759050369263,1799500,-12.176222038269042
45.120102643966675,1799250,-11.94251365661621
45.45009112358093,1798625,-11.867335510253906
45.781282901763916,1799750,-11.935004425048827
46.11030602455139,1799250,-11.894318771362304
