timestamp,voltage_uV
0.9951393604278564,0
1.2966525554656982,117750
1.5973742008209229,121750
1.8985583782196045,92875
2.1991348266601562,99375
2.5011558532714844,139500
2.8021769523620605,110000
3.1033811569213867,152375
3.405181884765625,158500
3.706812858581543,127875
4.008006811141968,172875
4.308528184890747,139125
4.6100780963897705,146625
4.911988735198975,188250
5.213433027267456,157750
5.514942407608032,201375
5.815727710723877,206500
6.118312358856201,212000
6.419039726257324,216500
6.720632791519165,185125
7.022094964981079,228250
7.322918891906738,227750
7.623855829238892,239625
7.925042390823364,208875
8.22605037689209,252250
8.527002334594727,257375
8.828070163726807,224625
9.129061698913574,268125
9.429816246032715,273875
9.73157525062561,269000
10.032663345336914,248500
10.334096670150757,257250
10.634616374969482,297125
10.937100887298584,265625
11.23808741569519,270250
11.538900375366211,287875
11.840824127197266,320500
12.142501831054688,321500
12.444301843643188,327625
12.745523691177368,335875
13.047110795974731,340500
13.347659587860107,346625
13.64925217628479,315250
13.949676990509033,360000
14.250251770019531,360500
14.551335096359253,367625
14.853018045425415,339750
15.154558181762695,381000
15.454850196838379,387000
15.756810426712036,354125
16.057523727416992,363000
16.35885739326477,367375
16.659701585769653,407875
16.961657524108887,376375
17.262763023376465,418625
17.56370997428894,392125
17.86490225791931,394375
18.167094469070435,436500
18.467630863189697,408125
18.768661975860596,411500
19.07045340538025,414000
19.372142553329468,453750
19.673548460006714,425625
19.97505807876587,434125
20.27758240699768,437750
20.579731702804565,445375
20.88176131248474,450375
21.183778762817383,476125
21.484473943710327,496750
21.784948587417603,466125
22.08654499053955,471875
22.387945652008057,478875
22.688353061676025,520625
22.989978313446045,526625
23.29123306274414,529500
23.591747999191284,498250
23.892144203186035,504875
24.1938693523407,511250
24.494664192199707,550000
24.795382976531982,521500
25.096062183380127,560750
25.398332357406616,532000
25.700220823287964,574875
26.000500440597534,546250
26.301121711730957,549000
26.602354288101196,588875
26.903128147125244,559625
27.204080820083618,565750
27.50522208213806,570625
27.806489944458008,611875
28.107938528060913,617750
28.408883094787598,591375
28.709429502487183,598000
29.011505126953125,631875
29.31280779838562,601875
29.613499402999878,640125
29.91422390937805,615000
30.216180324554443,619250
30.517273902893066,625750
30.819282293319702,666500
31.12162446975708,664000
31.423215627670288,677125
31.723884344100952,646625
32.02489423751831,681125
32.32574439048767,694875
32.62863087654114,699125
32.92962169647217,705375
33.23035645484924,709375
33.53271198272705,714250
33.834659576416016,721375
34.136356592178345,726000
34.43722701072693,729125
34.73849654197693,699750
35.04039478302002,741250
35.340877056121826,714750
35.64258098602295,749750
35.94360136985779,757375
36.24616551399231,728625
36.54686212539673,765875
36.84936261177063,737750
37.15015244483948,742750
37.45197081565857,782625
37.753243923187256,753000
38.05427026748657,796000
38.35475420951843,765125
38.65630555152893,805750
38.957032442092896,802125
39.25814414024353,778875
39.55928134918213,820500
39.86093258857727,823875
40.16297936439514,829625
40.46453070640564,802125
40.76534843444824,808500
41.06742262840271,815000
41.368181228637695,839625
41.67031288146973,823000
41.97165083885193,828000
42.273261070251465,833375
42.574222564697266,874375
42.8763153553009,844750
43.17747616767883,883250
43.479671001434326,886500
43.780293464660645,859375
44.0817174911499,902125
44.3827691078186,870500
44.68510961532593,875750
44.98671507835388,879875
45.28706073760986,921250
45.58950328826904,890750
45.890973806381226,931250
46.19174122810364,903250
46.49339818954468,942000
46.794633626937866,915625
47.09664297103882,952500
47.39734220504761,925000
47.69804310798645,963625
47.99929475784302,935125
48.300583362579346,973750
48.602131605148315,980250
48.90274095535278,977375
49.204174280166626,988875
49.50572347640991,992500
49.80637311935425,967250
50.10773944854736,968875
50.4084894657135,1009375
50.71082019805908,978875
51.01132011413574,1020375
51.31251883506775,991500
51.613831520080566,997625
51.915714502334595,1000250
52.21615266799927,1041125
52.51750469207764,1046625
52.81819438934326,1018375
53.118507623672485,1048750
53.42006993293762,1027000
53.72045612335205,1056125
54.02146506309509,1036000
54.324129819869995,1077250
54.624497175216675,1082875
54.92522358894348,1053750
55.22734618186951,1091000
55.52839016914368,1096375
55.83048391342163,1102000
56.13152599334717,1107375
56.43316888809204,1081125
56.73522639274597,1085250
57.036848306655884,1088625
57.338767766952515,1126875
57.640292167663574,1097250
57.94258999824524,1102375
58.24337577819824,1144125
58.54408240318298,1114125
58.84501028060913,1117500
59.14609408378601,1158125
59.447121381759644,1160000
59.74819898605347,1132125
60.04883337020874,1173375
60.35209107398987,1141500
60.6530237197876,1147875
60.95422601699829,1151875
61.255433320999146,1158500
61.55700707435608,1197500
61.85743856430054,1168625
62.15830397605896,1177625
62.45987915992737,1211250
62.762319803237915,1183625
63.06288003921509,1189875
63.3644015789032,1229500
63.665008306503296,1232625
63.96700310707092,1203125
64.26735067367554,1210875
64.56786894798279,1246375
64.86908292770386,1253875
65.17091512680054,1223000
65.47185635566711,1264500
65.77259564399719,1268250
66.07371115684509,1237875
66.37552261352539,1278750
66.67605876922607,1256250
66.97849798202515,1288750
67.28047370910645,1284000
67.58277869224548,1262875
67.88387250900269,1269250
68.18608236312866,1274500
68.4872362613678,1313625
68.78865218162537,1283375
69.0900468826294,1323000
69.39186549186707,1326625
69.69333100318909,1300750
69.99523639678955,1301875
70.2957534790039,1342625
70.59637665748596,1343750
70.8978374004364,1316500
71.19938945770264,1351500
71.50066614151001,1328125
71.80177664756775,1367375
72.10331892967224,1337625
72.40373635292053,1376000
72.70438408851624,1379500
73.00536775588989,1352625
73.3070981502533,1360375
73.60924124717712,1395875
73.9094762802124,1365875
74.20998287200928,1406500
74.51162767410278,1410875
